isbn,authors,original_publication_year,original_title,average_rating,image_url
142001740,Sue Monk Kidd,2001,The Secret Life of Bees,4.01,https://images.gr-assets.com/books/1473454532m/37435.jpg
142437174,Mark Twain,1884,The Adventures of Huckleberry Finn,3.8,https://images.gr-assets.com/books/1405973850m/2956.jpg
64410935,E.B. White,1952,Charlotte's Web,4.15,https://images.gr-assets.com/books/1439632243m/24178.jpg
1400032717,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,3.85,https://images.gr-assets.com/books/1479863624m/1618.jpg
1594633665,Paula Hawkins,2015,The Girl on the Train,3.88,https://images.gr-assets.com/books/1490903702m/22557272.jpg
679879242,Philip Pullman,1995,Northern Lights,3.94,https://images.gr-assets.com/books/1451271747m/119322.jpg
393978893,Richard J. Dunn,1847,Wuthering Heights,3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
743454537,Jodi Picoult,2004,My Sister's Keeper,4.06,https://images.gr-assets.com/books/1369504683m/10917.jpg
385333846,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ,4.06,https://images.gr-assets.com/books/1440319389m/4981.jpg
446675539,Margaret Mitchell,1936,Gone with the Wind,4.28,https://images.gr-assets.com/books/1328025229m/18405.jpg
1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns,4.34,https://images.gr-assets.com/books/1345958969m/128029.jpg
671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower,4.21,https://images.gr-assets.com/books/1167352178m/22628.jpg
7442912,Veronica Roth,2012,Insurgent,4.07,https://images.gr-assets.com/books/1325667729m/11735983.jpg
812550706,Orson Scott Card,1985,Ender's Game,4.3,https://images.gr-assets.com/books/1408303130m/375802.jpg
"141439475,Mary Wollstonecraft Shelley,1818,Frankenstein; or, The Modern Prometheus,3.75,https://images.gr-assets.com/books/1381512375m/18490.jpg"
450040186,Stephen King,1977,The Shining,4.17,https://images.gr-assets.com/books/1353277730m/11588.jpg
316068047,Stephenie Meyer,2008,The Host,3.84,https://images.gr-assets.com/books/1318009171m/1656001.jpg
142402516,John Green,2005,Looking for Alaska,4.09,https://images.gr-assets.com/books/1394798630m/99561.jpg
141439661,Jane Austen,1811,Sense and Sensibility,4.06,https://images.gr-assets.com/books/1397245675m/14935.jpg
439244196,Louis Sachar,1998,Holes,3.93,https://images.gr-assets.com/books/1327781893m/38709.jpg
307275558,Lauren Weisberger,2003,The Devil Wears Prada,3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
156012197,Antoine de Saint-Exuparry,1946,Le Petit Prince,4.28,https://images.gr-assets.com/books/1367545443m/157993.jpg
074324754X,Jeannette Walls,2005,The Glass Castle,4.24,https://images.gr-assets.com/books/1400930557m/7445.jpg
385486804,Jon Krakauer,1996,Into the Wild,3.94,https://images.gr-assets.com/books/1403173986m/1845.jpg
141439602,Charles Dickens,1859,A Tale of Two Cities,3.81,https://images.gr-assets.com/books/1344922523m/1953.jpg
030734813X,Michael Crichton,1990,Jurassic Park,3.96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
60256656,Shel Silverstein,1964,The Giving Tree,4.38,https://images.gr-assets.com/books/1174210942m/370493.jpg
385338600,John Grisham,1989,A Time to Kill,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
374500010,Elie Wiesel,1958,Un di Velt Hot Geshvign,4.3,https://images.gr-assets.com/books/1473495285m/1617.jpg
014241493X,John Green,2008,Paper Towns,3.88,https://images.gr-assets.com/books/1349013610m/6442769.jpg
345418263,William Goldman,1973,The Princess Bride,4.25,https://images.gr-assets.com/books/1327903636m/21787.jpg
014038572X,S.E. Hinton,1967,The Outsiders,4.06,https://images.gr-assets.com/books/1442129426m/231804.jpg
385737947,James Dashner,2009,The Maze Runner,4.02,https://images.gr-assets.com/books/1375596592m/6186357.jpg
61234001,Steven D. Levitt,2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,3.93,https://images.gr-assets.com/books/1327909092m/1202.jpg
517189607,Frances Hodgson Burnett,1911,The Secret Garden,4.12,https://images.gr-assets.com/books/1327873635m/2998.jpg
60531045,Gregory Rabassa,1967,Cien años de soledad,4.04,https://images.gr-assets.com/books/1327881361m/320.jpg
375751513,Oscar Wilde,1891,The Picture of Dorian Gray,4.06,https://images.gr-assets.com/books/1424596966m/5297.jpg
345803507,E.L. James,2012,Fifty Shades Freed,3.88,https://images.gr-assets.com/books/1336418837m/13536860.jpg
393970124,Bram Stoker,1897,Dracula,3.98,https://images.gr-assets.com/books/1387151694m/17245.jpg
307269981,Stieg Larsson,2006,Flickan som lekte med elden,4.22,https://images.gr-assets.com/books/1351778881m/5060378.jpg
1612130585,E.L. James,2011,Fifty Shades Darker,3.87,https://images.gr-assets.com/books/1358266080m/11857408.jpg
60786507,Barbara Kingsolver,1998,The Poisonwood Bible,4.02,https://images.gr-assets.com/books/1412242487m/7244.jpg
349113912,David Sedaris,2000,Me Talk Pretty One Day,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
99408392,Maurice Sendak,1963,Where the Wild Things Are,4.22,https://images.gr-assets.com/books/1384434560m/19543.jpg
140449264,Alexandre Dumas,1844,Le Comte de Monte-Cristo,4.21,https://images.gr-assets.com/books/1309203605m/7126.jpg
307265439,Cormac McCarthy,2006,The Road,3.95,https://images.gr-assets.com/books/1439197219m/6288.jpg
7524277,Veronica Roth,2013,Allegiant,3.63,https://images.gr-assets.com/books/1395582745m/18710190.jpg
446693804,Nicholas Sparks,1999,A Walk to Remember,4.15,https://images.gr-assets.com/books/1385738968m/3473.jpg
440241413,Sophie Kinsella,2000,Confessions of a Shopaholic,3.61,https://images.gr-assets.com/books/1327872404m/9416.jpg
451525264,Victor Hugo,1862,Les Misérables,4.14,https://images.gr-assets.com/books/1411852091m/24280.jpg
553381695,George R.R. Martin,1998,A Clash of Kings,4.4,https://images.gr-assets.com/books/1358254974m/10572.jpg
143037145,Kim Edwards,2005,The Memory Keeper's Daughter,3.64,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
670026603,Jojo Moyes,2012,Me Before You,4.27,https://images.gr-assets.com/books/1357108762m/15507958.jpg
684833395,Joseph Heller,1961,Catch-22,3.98,https://images.gr-assets.com/books/1463157317m/168668.jpg
751529818,Mitch Albom,1997,Tuesdays with Morrie,4.06,https://images.gr-assets.com/books/1423763749m/6900.jpg
312422156,Jeffrey Eugenides,2002,Middlesex,3.98,https://images.gr-assets.com/books/1437029776m/2187.jpg
143039563,Mark Twain,1876,The Adventures of Tom Sawyer,3.89,https://images.gr-assets.com/books/1404811979m/24583.jpg
440498058,Madeleine L'Engle,1962,A Wrinkle in Time,4.04,https://images.gr-assets.com/books/1329061522m/18131.jpg
143038095,Amy Tan,1989,The Joy Luck Club,3.9,https://images.gr-assets.com/books/1304978653m/7763.jpg
038549081X,Margaret Atwood,1985,The Handmaid's Tale,4.06,https://images.gr-assets.com/books/1498057733m/38447.jpg
385729332,Ann Brashares,2001,The Sisterhood of the Traveling Pants,3.75,https://images.gr-assets.com/books/1461611233m/452306.jpg
60987103,Gregory Maguire,1995,Wicked: The Life and Times of the Wicked Witch of the West,3.52,https://images.gr-assets.com/books/1437733293m/37442.jpg
582418275,John Grisham,1991,The Firm,3.99,https://images.gr-assets.com/books/1418465200m/5358.jpg
316098337,Emma Donoghue,2010,Room,4.03,https://images.gr-assets.com/books/1344265419m/7937843.jpg
521618746,William Shakespeare,1600,The Tragicall Historie of Hamlet, Prince of Denmark,4.0,https://images.gr-assets.com/books/1351051208m/1420.jpg
340839937,Frank Herbert,1965,Dune,4.19,https://images.gr-assets.com/books/1434908555m/234225.jpg
316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,3.92,https://images.gr-assets.com/books/1473396980m/2612.jpg
1451648537,Walter Isaacson,2011,Steve Jobs,4.09,https://images.gr-assets.com/books/1327861368m/11084145.jpg
451163966,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,4.18,https://images.gr-assets.com/books/1485308778m/332613.jpg
684830493,Ernest Hemingway,1952,The Old Man and the Sea,3.73,https://images.gr-assets.com/books/1329189714m/2165.jpg
142000663,John Steinbeck,1939,The Grapes of Wrath,3.92,https://images.gr-assets.com/books/1352912927m/4395.jpg
1401308589,Mitch Albom,2003,The Five People You Meet in Heaven,3.9,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
451528824,L.M. Montgomery,1908,Anne of Green Gables,4.23,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1416914307,Cassandra Clare,2009,City of Glass,4.34,https://images.gr-assets.com/books/1369452339m/3777732.jpg
055357342X,George R.R. Martin,2000,A Storm of Swords,4.54,https://images.gr-assets.com/books/1497931121m/62291.jpg
006075995X,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,3.79,https://images.gr-assets.com/books/1408313524m/137791.jpg
440242940,Diana Gabaldon,1991,Outlander,4.2,https://images.gr-assets.com/books/1402600310m/10964.jpg
142437263,Nathaniel Hawthorne,1850,The Scarlet Letter,3.37,https://images.gr-assets.com/books/1404810944m/12296.jpg
1594744769,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,3.89,https://images.gr-assets.com/books/1472782916m/9460487.jpg
030726999X,Stieg Larsson,2007,Luftslottet som sprängdes,4.2,https://images.gr-assets.com/books/1327708260m/6892870.jpg
804139024,Andy Weir,2012,The Martian,4.39,https://images.gr-assets.com/books/1413706054m/18007564.jpg
451207149,Ken Follett,1989,The Pillars of the Earth,4.29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1400064163,Laura Hillenbrand,2010,Unbroken: A World War II Story of Survival, Resilience, and Redemption,4.4,https://images.gr-assets.com/books/1327861115m/8664353.jpg
671027387,Dan Brown,2001,Deception Point,3.67,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
316055433,Donna Tartt,2013,The Goldfinch,3.87,https://images.gr-assets.com/books/1451554970m/17333223.jpg
1595141715,Jay Asher,2007,Thirteen Reasons Why,4.02,https://images.gr-assets.com/books/1333822506m/1217100.jpg
452287022,Tracy Chevalier,1999,Girl with a Pearl Earring,3.85,https://images.gr-assets.com/books/1327197580m/2865.jpg
525421033,Gayle Forman,2009,If I Stay,3.96,https://images.gr-assets.com/books/1347462970m/4374400.jpg
312353766,Anita Diamant,1997,The Red Tent,4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
786856866,Rick Riordan,2006,The Sea of Monsters,4.23,https://images.gr-assets.com/books/1400602661m/28186.jpg
446528056,Nicholas Sparks,2006,Dear John,4.01,https://images.gr-assets.com/books/1397749854m/5526.jpg
1416914293,Cassandra Clare,2008,City of Ashes,4.21,https://images.gr-assets.com/books/1432730356m/1582996.jpg
743477103,William Shakespeare,1606,The Tragedy of Macbeth,3.88,https://images.gr-assets.com/books/1459795224m/8852.jpg
618346260,J.R.R. Tolkien,1954,The Two Towers,4.42,https://images.gr-assets.com/books/1298415523m/15241.jpg
031232118X,Emily Giffin,2004,Something Borrowed,3.83,https://images.gr-assets.com/books/1305063535m/42156.jpg
394800168,Dr. Seuss,1960,Green Eggs and Ham,4.29,https://images.gr-assets.com/books/1468680100m/23772.jpg
142403881,Roald Dahl,1964,Charlie and the Chocolate Factory,4.1,https://images.gr-assets.com/books/1309211401m/6310.jpg
1423101464,Rick Riordan,2008,The Battle of the Labyrinth,4.39,https://images.gr-assets.com/books/1443142158m/2120932.jpg
192833596,Charles Dickens,1860,Great Expectations,3.75,https://images.gr-assets.com/books/1327920219m/2623.jpg
345339738,J.R.R. Tolkien,1955,The Return of the King,4.51,https://images.gr-assets.com/books/1389977161m/18512.jpg
142311339X,Rick Riordan,2010,The Lost Hero,4.35,https://images.gr-assets.com/books/1464201003m/7736182.jpg
1250012570,Rainbow Rowell,2013,Eleanor & Park,4.11,https://images.gr-assets.com/books/1341952742m/15745753.jpg
055358202X,George R.R. Martin,2005,A Feast for Crows,4.1,https://images.gr-assets.com/books/1429538615m/13497.jpg
525423648,Ally Condie,2010,Matched,3.68,https://images.gr-assets.com/books/1367706191m/7735333.jpg
747263744,Neil Gaiman,2001,American Gods,4.11,https://images.gr-assets.com/books/1258417001m/4407.jpg
385199570,Stephen King,1978,The Stand,4.34,https://images.gr-assets.com/books/1213131305m/149267.jpg
446547565,Nicholas Sparks,2008,The Last Song,4.14,https://images.gr-assets.com/books/1286549186m/6400090.jpg
552151696,Dan Brown,1998,Digital Fortress,3.6,https://images.gr-assets.com/books/1360095966m/11125.jpg
141439580,Jane Austen,1815,Emma,3.99,https://images.gr-assets.com/books/1373627931m/6969.jpg
393312836,Anthony Burgess,1962,A Clockwork Orange,3.98,https://images.gr-assets.com/books/1348339306m/227463.jpg
964729237,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,3.74,https://images.gr-assets.com/books/1344270232m/1812457.jpg
739380338,Rick Riordan,2009,The Last Olympian,4.5,https://images.gr-assets.com/books/1327924597m/4502507.jpg
451169514,Stephen King,1986,It,4.18,https://images.gr-assets.com/books/1309376909m/18342.jpg
61148512,Sylvia Plath,1963,The Bell Jar,3.98,https://images.gr-assets.com/books/1473890514m/6514.jpg
7205236,Frank McCourt,1996,Angela's Ashes: A Memoir,4.07,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
553208845,Hermann Hesse,1922,Siddhartha,3.99,https://images.gr-assets.com/books/1428715580m/52036.jpg
679745580,Truman Capote,1965,In Cold Blood,4.05,https://images.gr-assets.com/books/1424931136m/168642.jpg
316042676,Kami Garcia,2009,Beautiful Creatures,3.76,https://images.gr-assets.com/books/1327873282m/6304335.jpg
1416975861,Cassandra Clare,2010,Clockwork Angel,4.33,https://images.gr-assets.com/books/1454962884m/7171637.jpg
141301066,Roald Dahl,1988,Matilda,4.29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
385534639,Erin Morgenstern,2011,The Night Circus,4.03,https://images.gr-assets.com/books/1387124618m/9361589.jpg
743227441,Philippa Gregory,2001,The Other Boleyn Girl,4.04,https://images.gr-assets.com/books/1355932638m/37470.jpg
689865384,Scott Westerfeld,2005,Uglies,3.86,https://images.gr-assets.com/books/1443904172m/24770.jpg
618640150,J.R.R. Tolkien,1955,The Lord of the Rings,4.47,https://images.gr-assets.com/books/1411114164m/33.jpg
307592731,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail ,3.96,https://images.gr-assets.com/books/1453189881m/12262741.jpg
930289234,Alan Moore,1987,Watchmen,4.35,https://images.gr-assets.com/books/1442239711m/472331.jpg
075640407X,Patrick Rothfuss,2007,The Name of the Wind,4.55,https://images.gr-assets.com/books/1472068073m/186074.jpg
316017922,Malcolm Gladwell,2008,Outliers: The Story of Success,4.11,https://images.gr-assets.com/books/1344266315m/3228917.jpg
"142437247,Herman Melville,1851,Moby Dick; or, The Whale,3.46,https://images.gr-assets.com/books/1327940656m/153747.jpg"
385340990,Mary Ann Shaffe,2008,The Guernsey Literary and Potato Peel Pie Society,4.12,https://images.gr-assets.com/books/1351979318m/2728527.jpg
393327345,Chuck Palahniuk,1996,Fight Club,4.2,https://images.gr-assets.com/books/1357128997m/5759.jpg
441008534,Charlaine Harris,2001,Dead Until Dark,3.96,https://images.gr-assets.com/books/1468560853m/301082.jpg
671727796,Alice Walker,1982,The Color Purple,4.17,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
739461192,John Grogan,2005,Marley & Me: Life and Love with the World's Worst Dog,4.12,https://images.gr-assets.com/books/1308858322m/12691.jpg
312330871,Agatha Christie,1939,Ten Little Niggers,4.23,https://images.gr-assets.com/books/1391120695m/16299.jpg
385504225,Dan Brown,2009,The Lost Symbol,3.66,https://images.gr-assets.com/books/1358274396m/6411961.jpg
1416989412,Becca Fitzpatrick,2009,Hush, Hush,4.0,https://images.gr-assets.com/books/1358261334m/6339664.jpg
1561797464,Charles Dickens,1843,A Christmas Carol,4.02,https://images.gr-assets.com/books/1406512317m/5326.jpg
345476875,Anne Rice,1976,Interview with the Vampire,3.97,https://images.gr-assets.com/books/1380631642m/43763.jpg
62059939,Kiera Cass,2012,The Selection,4.15,https://images.gr-assets.com/books/1322103400m/10507293.jpg
312362080,Janet Evanovich,1994,One for the Money,4.03,https://images.gr-assets.com/books/1316730230m/6853.jpg
1400052173,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,4.04,https://images.gr-assets.com/books/1327878144m/6493208.jpg
99446782,Thomas Harris,1988,The Silence of the Lambs,4.14,https://images.gr-assets.com/books/1390426249m/23807.jpg
316010669,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,3.89,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
038572179X,Ian McEwan,2001,Atonement,3.88,https://images.gr-assets.com/books/1320449708m/6867.jpg
553213695,Franz Kafka,1915,Die Verwandlung,3.78,https://images.gr-assets.com/books/1359061917m/485894.jpg
141382899,Rick Riordan,2007,The Titan's Curse,4.33,https://images.gr-assets.com/books/1361038385m/561456.jpg
1554681723,Garth Stein,2006,The Art of Racing in the Rain,4.19,https://images.gr-assets.com/books/1377206302m/3153910.jpg
739303406,Erik Larson, Tony Goldwyn,2003,The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America,3.98,https://images.gr-assets.com/books/1312066724m/21996.jpg
425263908,Sylvia Day,2012,Bared to You,4.19,https://images.gr-assets.com/books/1477803272m/13572249.jpg
66238501,C.S. Lewis, Pauline Baynes,1956,The Chronicles of Narnia,4.24,https://images.gr-assets.com/books/1449868701m/11127.jpg
"1558743669,Dave Pelzer,1995,A Child Called ""It"": One Child's Courage to Survive,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
752864327,Robert Ludlum,1980,The Bourne Identity,3.98,https://images.gr-assets.com/books/1335860740m/7869.jpg
786817879,Eoin Colfer,2001,Artemis Fowl,3.82,https://images.gr-assets.com/books/1327945104m/249747.jpg
385738935,Lauren Kate,2009,Fallen,3.74,https://images.gr-assets.com/books/1440619649m/6487308.jpg
142000655,John Steinbeck,1952,East of Eden  ,4.35,https://images.gr-assets.com/books/1441547516m/4406.jpg
307341569,Gillian Flynn,2009,Dark Places,3.92,https://images.gr-assets.com/books/1354988288m/5886881.jpg
385339089,John Grisham,1993,The Client,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
312291639,Emma McLaughlin, Nicola Kraus,2002,The Nanny Diaries,3.4,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
451527747,Lewis Carroll, John Tenniel, Martin Gardner,1865,Alice's Adventures in Wonderland,4.06,https://images.gr-assets.com/books/1327872220m/24213.jpg
192802631,Jane Austen, James Kinsley, Deidre Shauna Lynch,1817,Persuasion,4.13,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
312370830,Tatiana de Rosnay,2007,Elle s'appelait Sarah,4.14,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
452284694,Stephen King,1982,The Gunslinger,3.99,https://images.gr-assets.com/books/1375776480m/43615.jpg
140003468X,Gabriel García Márquez, Edith Grossman,1985,El amor en los tiempos del cólera,3.89,https://images.gr-assets.com/books/1327124987m/9712.jpg
014131088X,Laurie Halse Anderson,1999,Speak,4.0,https://images.gr-assets.com/books/1310121762m/439288.jpg
399159347,Liane Moriarty,2013,The Husband's Secret ,3.92,https://images.gr-assets.com/books/1460577225m/17802724.jpg
385494785,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mt. Everest Disaster,4.11,https://images.gr-assets.com/books/1463384482m/1898.jpg
1416524304,Stephen King,1974,Carrie,3.93,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
031242227X,Augusten Burroughs,2002,Running with Scissors,3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
307346609,Max Brooks,2006,World War Z: An Oral History of the Zombie War,4.01,https://images.gr-assets.com/books/1386328204m/8908.jpg
385537859,Dan Brown,2013,Inferno,3.8,https://images.gr-assets.com/books/1397093185m/17212231.jpg
440227534,Lois Lowry,1989,Number the Stars,4.11,https://images.gr-assets.com/books/1370917812m/47281.jpg
446692638,James Patterson,1993,Along Came a Spider,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
